[-22, 14]
[25, 22]
[-15, 9]
[-2, -14]
[-13, 25]
[-14, 16]
[20, 9]
[-17, 15]
[21, -11]
[10, -8]
[21, 24]
[0, 10]
[16, -1]
[-6, -3]
[25, 23]
[25, -18]
[2, -15]
[1, 12]
[-19, -6]
[5, 13]
[3, 5]
[-14, -8]
[-23, 17]
[9, -20]
[9, -14]
[25, 8]
[-12, 16]
[22, -8]
[18, -15]
[-16, -22]
[18, -23]
[11, 7]
[18, 7]
[5, 24]
[-19, 4]
[-19, 5]
[-6, 11]
[-17, 5]
[15, -18]
[-17, 9]
[-21, 16]
[10, 6]
[13, -9]
[19, 9]
[19, -14]
[16, 14]
[-23, 19]
[11, -4]
[-10, 3]
[-25, 20]
[-9, 5]
[-21, 20]
[-2, -2]
[19, 19]
[10, -3]
