[7, 25]
[9, 14]
[-13, 2]
[3, 17]
[-13, -14]
[-17, -21]
[10, -12]
[20, 12]
[-14, -4]
[10, -18]
[18, 6]
[-5, -5]
[22, -23]
[5, -23]
[24, 24]
[1, 2]
[5, -10]
[23, 25]
[4, -23]
[-24, 25]
[22, -7]
[23, -3]
[-1, -2]
[13, -14]
[21, 6]
[-17, -8]
[-2, -11]
[-10, 5]
[22, 8]
[14, -2]
[4, 17]
[-16, -15]
[-7, 13]
[18, -23]
[-1, -8]
[19, 0]
[-1, -4]
[2, -6]
[2, 12]
[-5, 22]
[3, -11]
[12, -21]
[21, -11]
[-24, -3]
[-5, -22]
[-22, 2]
[-16, -24]
[2, -17]
[15, 11]
[15, -4]
[8, -18]
[6, 4]
[-24, -10]
[-20, -11]
[-3, 20]
